Day,Month,Year,Content ID,Reaction Type,Content Type,Category,Sentiment,Score
Sat,Nov,2020,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0
Wed,Jan,2021,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0
Fri,Apr,2021,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0
Sun,Mar,2021,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,photo,healthy eating,negative,0
Tue,Aug,2020,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,photo,healthy eating,negative,0
Thu,Jan,2021,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,dogs,negative,0
Wed,Jan,2021,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,dogs,negative,0
Thu,Feb,2021,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,dogs,negative,0
Thu,May,2021,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,photo,public speaking,negative,0
Sat,Feb,2021,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,photo,public speaking,negative,0
Sat,Nov,2020,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,GIF,science,negative,0
Wed,Mar,2021,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,tennis,negative,0
Fri,Sep,2020,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,tennis,negative,0
Tue,Oct,2020,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,tennis,negative,0
Thu,Jul,2020,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,tennis,negative,0
Tue,Dec,2020,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,food,negative,0
Tue,Jan,2021,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,food,negative,0
Sun,Nov,2020,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,food,negative,0
Mon,Apr,2021,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,food,negative,0
Sun,Oct,2020,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,food,negative,0
Mon,Feb,2021,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,GIF,fitness,negative,0
Mon,Feb,2021,f332d362-dc48-46c2-a64b-641157c0987e,disgust,GIF,soccer,negative,0
Wed,Jun,2021,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,public speaking,negative,0
Sat,Dec,2020,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,public speaking,negative,0
Tue,Jun,2021,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,public speaking,negative,0
Sat,Nov,2020,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,video,food,negative,0
Fri,Jan,2021,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,video,food,negative,0
Sat,Apr,2021,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,tennis,negative,0
Mon,Dec,2020,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,tennis,negative,0
Tue,Oct,2020,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,tennis,negative,0
Thu,Aug,2020,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,tennis,negative,0
Sun,Sep,2020,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,soccer,negative,0
Wed,Aug,2020,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,soccer,negative,0
Tue,Mar,2021,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,soccer,negative,0
Sat,Dec,2020,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,soccer,negative,0
Tue,Mar,2021,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,soccer,negative,0
Thu,Oct,2020,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,soccer,negative,0
Wed,Mar,2021,388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,video,education,negative,0
Mon,Dec,2020,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,studying,negative,0
Wed,Apr,2021,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,studying,negative,0
Mon,Jul,2020,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,studying,negative,0
Fri,Sep,2020,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,photo,travel,negative,0
